iso3,country_name,cost_of_living_index,cpi_and_rent_index,rent_index,groceries_index,restaurant_price_index,purchasing_power_incl_rent_index,quality_of_life_index,safety_index,health_care_index,pollution_index,property_price_to_income_ratio,year_last_update
PYF,French Polynesia,,,30.98456393902796,111.0405727404779,65.57520943846669,,,79.03527200353825,88.19444444444444,52.298850574712645,21.065230013283372,
ATF,French Southern Territories,,,,,,,,53.6764705882353,38.888888888888886,37.701149425287355,,
GAB,Gabon,,,22.144233609450094,75.18308907904608,76.82021350858209,,,40.40247678018576,31.48148148148148,76.46551724137932,,
GMB,Gambia,31.377596194982697,18.253477856393552,2.5408336923606902,31.264675343199233,47.77909276422631,7.044780212202942,0.0,39.29187192118226,66.66666666666667,61.666666666666664,105.48419033387778,
GEO,Georgia,33.41122353742347,23.531400018985362,11.702936777213848,33.142981774836606,36.329784455126244,47.83458814509983,127.94910166872307,73.65603795031699,56.333469373969564,68.50294372902624,12.55810643082178,
DEU,Germany,70.45325866662226,49.111870992841816,23.561230421519642,67.62105344720214,68.19017490852983,150.35074316103186,198.6103803784041,60.99696105571034,71.3063515407394,28.88153422105279,7.546581087802812,
GHA,Ghana,33.92837291285809,23.362185724661437,10.711984379666216,37.914996843261925,34.12751697306697,20.364381047039448,45.68220613797186,55.03742602633388,56.98221454186225,86.34626223918131,52.39104744227792,
GIB,Gibraltar,72.9907807140221,63.952025593024985,53.1305182553119,65.60473004095891,79.7835585581569,95.29928448575511,169.36846076389364,79.77391064907903,73.26388888888889,54.78927203065135,18.88085655019639,
GRC,Greece,55.00848383599269,36.04765936942854,13.347110638180352,53.01266043528121,59.81703493611368,69.29989084406435,142.47822934631645,53.8158164297547,58.71061507435992,49.45716486424858,12.019590817023229,
GRL,Greenland,99.47100713880988,64.22106873009909,22.018634651796766,124.7745124271897,89.16879572927718,139.7418857647557,,61.27366189202224,51.388888888888886,77.11080121703856,4.933928534258739,
GRD,Grenada,78.18130559727481,49.64409003388614,15.47835775292976,73.98351030472689,52.737933441666854,36.48965005975708,,75.78267849029096,58.888888888888886,49.17711598746081,164.62869740461105,
GLP,Guadeloupe,,,27.73081154418595,98.5606368730372,,,,55.7422969187675,93.05555555555556,75.86206896551724,8.461145194274028,
GUM,Guam,,,44.09083797227673,97.32386233719167,70.15913011586528,,,34.610988780538946,36.18686868686868,49.895793861311105,,
GTM,Guatemala,44.98069480210793,32.66393945716269,17.917897932869423,52.55886512204574,40.12946437467352,37.17219136562557,103.88007182467067,43.464082729261676,67.20871327254306,73.47438020665085,14.686294961303682,
